_time,uuid,type,count,avg_time_ms,interval,info
1612097618,196a3838-00b8-497c-bcf9-e5a46301a7d3,start,,,,nscd: type=native secs=600  threads=1
1612097628,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,448981,0.022,10,
1612097638,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,415526,0.024,10,
1612097648,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,456650,0.022,10,
1612097658,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,449590,0.022,10,
1612097668,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,458784,0.022,10,
1612097678,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,462476,0.022,10,
1612097688,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,469294,0.021,10,
1612097698,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,460744,0.022,10,
1612097708,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,435230,0.023,10,
1612097718,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,460808,0.022,10,
1612097728,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,469630,0.021,10,
1612097738,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,468600,0.021,10,
1612097748,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,465611,0.021,10,
1612097758,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,458902,0.022,10,
1612097768,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,468244,0.021,10,
1612097778,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,470065,0.021,10,
1612097788,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,455298,0.022,10,
1612097798,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,523505,0.019,10,
1612097808,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,524463,0.019,10,
1612097818,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,527394,0.019,10,
1612097828,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,532932,0.019,10,
1612097838,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,517188,0.019,10,
1612097848,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,530429,0.019,10,
1612097858,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,526215,0.019,10,
1612097868,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,485810,0.021,10,
1612097878,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,464112,0.022,10,
1612097888,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,466701,0.021,10,
